[ERR] 2017-09-18 06:45:34 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:39 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:45:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:45:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:45:40 | Forged new block id: 6512938698168140695 height: 38 round: 19 slot: 4160794 reward:0
[ERR] 2017-09-18 06:45:44 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:49 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:54 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:59 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:46:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:46:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:46:00 | Forged new block id: 5816426922096906657 height: 39 round: 20 slot: 4160796 reward:0
[ERR] 2017-09-18 06:46:04 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:09 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:14 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:19 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:46:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:46:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:46:20 | Forged new block id: 16132593580043835886 height: 40 round: 20 slot: 4160798 reward:0
[ERR] 2017-09-18 06:46:24 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:29 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:34 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:39 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:46:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:46:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:46:40 | Forged new block id: 9952537791432593644 height: 41 round: 21 slot: 4160800 reward:0
[ERR] 2017-09-18 06:46:44 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:49 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:54 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:46:59 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:47:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:47:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:47:00 | Forged new block id: 3073212328475701970 height: 42 round: 21 slot: 4160802 reward:0
[ERR] 2017-09-18 06:47:04 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:09 | Discovering new peers failed - No acceptable peers found
